date,personal_lowest_price,personal_average_price
2018/4/25,32100,34455
2018/3/26,25300,26939
2018/2/26,22800,24560
2018/1/25,21000,25213
2017/12/25,18000,32312
2017/11/27,30700,34046
2017/10/25,30000,32449
2017/9/25,28800,30535
2017/8/25,26800,28561
2017/7/25,25000,26668
2017/6/26,23900,25498
2017/5/25,21500,22996
2017/4/25,18900,20127
2017/3/27,17300,18358
2017/2/28,15900,17419
2017/1/25,15100,17508
2016/12/26,15300,20591
2016/11/25,18600,22300
2016/10/25,19500,21551
2016/9/26,18100,19614
2016/8/25,15100,17330
2016/7/25,10100,24324
2016/6/27,23400,28541
2016/5/25,25000,27127
2016/4/25,23800,25701
2016/3/25,21100,23315
2016/2/25,19500,21884
2016/1/25,21000,25727
2015/12/25,24600,27077
2015/11/25,19000,20609
2015/10/26,16000,17487
2015/9/25,13500,16886
2015/8/25,10000,36231
2015/7/27,35000,37805
2015/6/25,26000,27672
2015/5/25,20200,21506
2015/4/27,16800,17798
2015/3/25,14500,15436
2015/2/25,13200,14331
2015/1/25,12000,13137
2014/12/25,10300,11421
2014/11/25,10000,11207
2014/10/25,10000,11442
2014/9/25,10000,12382
2014/8/26,10000,16654
2014/7/25,14800,18310
2014/6/26,16000,17024
2014/5/27,14500,15391
2014/4/26,13100,14074
2014/3/27,12300,13085
2014/2/25,11600,12777
2014/1/26,11500,12541
2013/12/25,10700,11959
2013/11/25,10000,11813
2013/10/25,10000,16384
2013/9/25,10000,30802
2013/8/26,23900,26599
2013/7/25,18700,20631
2013/6/25,14000,15743
2013/5/27,11600,12627
2013/4/25,10000,10998
2013/3/25,10000,10585
2013/2/25,10000,10573
2013/1/25,10000,10854
2012/12/25,10000,10955
2012/11/26,10000,10779
2012/10/25,10000,11067
2012/9/25,10000,14138
2012/8/28,10000,22822
